,institutionname,institution_type2,coord1D_horizontal axis
0,Neque labore,Type A,0.04028525143262501
1,Magnam modi,Type B,0.018177230528104382
2,Tempora amet,Type A,-0.916658678636934
3,Dolorem porro,Type A,0.17798909034451196
4,Eius modi,Type A,0.5382088817975744
5,Consectetur tempora,Type A,0.02357633370075274
6,Dolore non,Type A,-0.2588666040401126
7,Quiquia velit,Type A,0.405093845285034
8,Dolorem neque,Type B,-0.37930615599969597
9,Voluptatem etincidunt,Type A,0.5112504106812501
10,Est dolor,Type A,0.308147050633885
11,Non neque,Type A,0.10554415112153392
12,Amet est,Type A,0.5659948850493371
13,Etincidunt quisquam,Type A,0.05450700262825048
14,Quiquia dolorem,Type A,-0.011246769021796443
15,Aliquam ut,Type A,-0.03114736718503308
16,Modi voluptatem,Type A,0.7710369752365283
17,Labore adipisci,Type A,0.09975523851892826
18,Quisquam quaerat,Type A,0.3384308500477995
19,Sit dolorem,Type A,0.776951609967643
20,Voluptatem labore,Type A,-0.10495090500588955
21,Adipisci labore,Type A,0.7891879586989363
22,Dolorem tempora,Type A,0.036740027598371916
23,Quisquam tempora,Type A,0.06551443667853232
24,Aliquam numquam,Type A,-0.13030157453677832
25,Magnam aliquam,Type A,0.7280859982499617
26,Est dolore,Type A,-0.001990971199191005
27,Quisquam neque,Type A,0.10192647461137563
28,Consectetur numquam,Type A,0.35693759001686
29,Amet quaerat,Type A,0.8172523879979849
30,Labore amet,Type A,0.2116517109106689
31,Quiquia amet,Type A,-0.06404398724432858
32,Tempora dolorem,Type A,0.46540777827711255
33,Etincidunt labore,Type A,0.32880198561608676
34,Ipsum sit,Type A,0.7276818467283085
35,Porro adipisci,Type B,-0.25445469083438776
36,Modi dolor,Type B,-0.8494640268815952
37,Dolore amet,Type A,0.5234671117197108
38,Voluptatem quaerat,Type A,0.8084685482598959
39,Ipsum adipisci,Type B,-0.99
40,Est adipisci,Type A,0.18868614294517422
41,Tempora voluptatem,Type A,0.2868403346451913
42,Quaerat dolor,Type A,0.2460400958211146
43,Dolore modi,Type A,0.21397488143035365
44,Quiquia tempora,Type A,0.26657587369230556
45,Adipisci sit,Type A,0.7475863455703615
46,Quisquam quiquia,Type B,-0.5040211716251969
47,Velit sed,Type A,-0.16037477358588875
48,Quiquia voluptatem,Type A,0.99
49,Amet velit,Type A,0.8306642057674696
50,Numquam ut,Type B,-0.8618194590358923
51,Quiquia quaerat,Type A,0.99
52,Velit modi,Type A,0.11095535374744345
53,Non quaerat,Type A,0.05632150228920063
54,Tempora etincidunt,Type B,-0.07791536860065756
55,Porro voluptatem,Type A,0.21385004535036217
56,Eius dolore,Type A,0.99
57,Quisquam amet,Type A,0.378377455023206
58,Porro numquam,Type A,-0.18039492258905387
59,Numquam velit,Type A,0.6468610111021498
60,Consectetur consectetur,Type A,0.28745494080911266
61,Ut velit,Type A,0.2709070078381265
62,Dolore adipisci,Type A,0.4916987739018403
63,Porro dolorem,Type A,-0.09878993438794309
64,Non sed,Type A,0.99
65,Porro magnam,Type A,0.45998441209923147
66,Ipsum porro,Type A,-0.11335685195188244
67,Non dolorem,Type A,-0.060684887153896805
68,Labore quaerat,Type A,0.99
69,Tempora dolore,Type A,0.3401511121583678
70,Etincidunt ut,Type A,0.7411419885985502
71,Eius quaerat,Type A,0.13105299151486688
72,Aliquam amet,Type A,0.99
73,Velit aliquam,Type A,0.30428589499296405
74,Labore velit,Type A,-0.14922855727290085
75,Quaerat magnam,Type A,0.5683949662381167
